,x,y,z,line,p3_before,p3_after,p10_before,p10_after,p11_before,p11_after,speed
40,12.5,42.798,-17.5,76,1,1,0,0,0,1,0.0
41,12.5,42.798,-17.5,78,1,1,0,0,1,0,0.0
42,12.5,42.798,-17.5,80,1,1,0,0,0,0,0.0
43,12.5,42.798,-17.5,81,1,1,0,0,0,1,0.0
44,12.5,42.798,-17.5,83,1,1,0,0,1,0,0.0
45,12.5,42.798,-15.0,85,1,1,0,0,0,0,20.0
46,20.0,42.798,-15.0,86,1,1,0,0,0,0,20.0
47,20.0,44.004,-12.5,87,1,1,0,1,0,0,20.0
48,5.0,44.004,-12.5,89,1,1,1,0,0,0,10.0
49,3.0,44.004,-12.5,91,1,1,0,0,0,0,10.0
50,3.0,45.812999999999995,-12.5,92,1,1,0,0,0,0,10.0
51,12.5,45.812999999999995,-12.5,93,1,1,0,0,0,0,10.0
52,12.5,45.812999999999995,-12.5,94,1,1,0,0,0,1,0.0
53,12.5,45.812999999999995,-12.5,96,1,1,0,0,1,0,0.0
54,12.5,45.812999999999995,-12.5,98,1,1,0,0,0,0,0.0
55,12.5,45.812999999999995,-12.5,99,1,1,0,0,0,1,0.0
56,12.5,45.812999999999995,-12.5,101,1,1,0,0,1,0,0.0
57,20.0,45.812999999999995,-12.5,103,1,1,0,0,0,0,10.0
58,20.0,44.531625,-12.5,104,1,1,0,0,0,0,10.0
59,3.0,44.531625,-12.5,105,1,1,0,0,0,0,10.0
60,3.0,45.812999999999995,-12.5,106,1,1,0,0,0,0,10.0
61,12.5,45.812999999999995,-12.5,107,1,1,0,0,0,0,10.0
62,12.5,45.812999999999995,-12.5,108,1,1,0,0,0,1,0.0
63,12.5,45.812999999999995,-12.5,110,1,1,0,0,1,0,0.0
64,12.5,45.812999999999995,-12.5,112,1,1,0,0,0,0,0.0
65,12.5,45.812999999999995,-12.5,113,1,1,0,0,0,1,0.0
66,12.5,45.812999999999995,-12.5,115,1,1,0,0,1,0,0.0
67,12.5,45.812999999999995,-10.0,117,1,1,0,0,0,0,20.0
68,20.0,45.812999999999995,-10.0,118,1,1,0,0,0,0,20.0
69,20.0,47.019,-7.5,119,1,1,0,1,0,0,20.0
70,5.0,47.019,-7.5,121,1,1,1,0,0,0,10.0
71,3.0,47.019,-7.5,123,1,1,0,0,0,0,10.0
72,3.0,48.827999999999996,-7.5,124,1,1,0,0,0,0,10.0
73,12.5,48.827999999999996,-7.5,125,1,1,0,0,0,0,10.0
74,12.5,48.827999999999996,-7.5,126,1,1,0,0,0,1,0.0
75,12.5,48.827999999999996,-7.5,128,1,1,0,0,1,0,0.0
76,12.5,48.827999999999996,-7.5,130,1,1,0,0,0,0,0.0
77,12.5,48.827999999999996,-7.5,131,1,1,0,0,0,1,0.0
78,12.5,48.827999999999996,-7.5,133,1,1,0,0,1,0,0.0
79,20.0,48.827999999999996,-7.5,135,1,1,0,0,0,0,10.0
80,20.0,47.546625,-7.5,136,1,1,0,0,0,0,10.0
81,3.0,47.546625,-7.5,137,1,1,0,0,0,0,10.0
82,3.0,48.827999999999996,-7.5,138,1,1,0,0,0,0,10.0
83,12.5,48.827999999999996,-7.5,139,1,1,0,0,0,0,10.0
84,12.5,48.827999999999996,-7.5,140,1,1,0,0,0,1,0.0
85,12.5,48.827999999999996,-7.5,142,1,1,0,0,1,0,0.0
86,12.5,48.827999999999996,-7.5,144,1,1,0,0,0,0,0.0
87,12.5,48.827999999999996,-7.5,145,1,1,0,0,0,1,0.0
88,12.5,48.827999999999996,-7.5,147,1,1,0,0,1,0,0.0
89,12.5,48.827999999999996,-5.0,149,1,1,0,0,0,0,20.0
90,20.0,48.827999999999996,-5.0,150,1,1,0,0,0,0,20.0
91,20.0,48.827999999999996,10.0,151,1,0,0,0,0,0,20.0
